,name,episode,speaker,text,episode_lines_id,all_lines_id
0,1,1,Narrator ,"Kids, I'm going to tell you an incredible story. The story of how I met your mother",1,1
1,1,1,Son ,Are we being punished for something?,2,2
2,1,1,Narrator ,No,3,3
3,1,1,Daughter ,"Yeah, is this going to take a while?",4,4
4,1,1,Narrator ,"Yes. (Kids are annoyed) Twenty-five years ago, before I was dad, I had this whole other life.",5,5
5,1,1,Narrator ,"It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up.",6,6
6,1,1,Marshall ,(Opens ring) Will you marry me.,7,7
7,1,1,Ted ,"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor.",8,8
8,1,1,Marshall ,"Got it. Thanks for helping me plan this out, Ted.",9,9
9,1,1,Ted ,"Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",10,10
10,1,1,Marshall ,"(laughs) yeah, sorry. We thought you were asleep.",11,11
11,1,1,Ted ,"It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",12,12
12,1,1,Marshall ,"Yeah, what are you doing tonight?",13,13
13,1,1,Narrator ,"What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.",14,14
14,1,1,Barney ,"(on the phone) hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.",15,15
15,1,1,Ted ,"Hey, you wanna do something tonight?",16,16
16,1,1,Barney ,"Okay, meet me at the bar in fifteen minutes, and Suit up!",17,17
17,1,1,Ted ,Hey.,18,18
18,1,1,Barney ,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",19,19
19,1,1,Ted ,I did that one time.,20,20
20,1,1,Barney ,It was a blazer!,21,21
21,1,1,Ted ,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted"".",22,22
22,1,1,Barney ,I see what this is about. Have you forgotten what I said to you the night we met?,23,23
23,1,1,Barney ,"Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal.",24,24
24,1,1,Ted ,"Oh, right. Hi.",25,25
25,1,1,Barney ,"Lesson one, lose the goatee. It doesn't look good with your suit.",26,26
26,1,1,Ted ,I'm not wearing a suit.,27,27
27,1,1,Barney ,"Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty.",28,28
28,1,1,Ted ,"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",29,29
29,1,1,Barney ,"I thought I was your best friend. Ted, say I'm your best friend.",30,30
30,1,1,Ted ,"You're my best friend, Barney.",31,31
31,1,1,Barney ,"Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?""",32,32
32,1,1,Ted ,"Wai-no, no, no. We're not playing ""Have You Met Ted?""",33,33
33,1,1,Barney ,"(Taps a woman names Yasmine) Hi, have you met Ted? (Leaves and watches from a distance).",34,34
34,1,1,Ted ,"(To Yasmine) Hi, I'm Ted.",35,35
35,1,1,Yasmine ,Yasmine.,36,36
36,1,1,Ted ,It's a very pretty name.,37,37
37,1,1,Yasmine ,"Thanks, It's Lebanese.",38,38
38,1,1,Marshall ,Hey!,39,39
39,1,1,Lily ,"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy (takes coat off revealing a purple hand print on her right breast) got to second base with me. Wow, you're cooking?",40,40
40,1,1,Marshall ,"Yes, I am.",41,41
41,1,1,Lily ,Aww-(They kiss) Are you sure that's a good idea after last time? You looked really creepy without eyebrows.,42,42
42,1,1,Marshall ,I can handle this; I'm full of surprises tonight.,43,43
43,1,1,Lily ,So there's more surprises? Like what?,44,44
44,1,1,Narrator ,"Marshall was in his second year of law school, so he was pretty good at thinking on his feet.",45,45
45,1,1,Marshall ,BOOGITY BOO! And that's all of them! I'm goanna go... cook. (Leaves),46,46
46,1,1,Ted ,"I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",47,47
47,1,1,Yasmine ,So do you think you'll ever get married?,48,48
48,1,1,Ted ,"Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged? (Yasmine laughs) Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",49,49
49,1,1,Yasmine ,"Actually, I think it's cute.",50,50
50,1,1,Ted ,"Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!",51,51
