"name","episode","speaker","text","episode_lines_id","all_lines_id"
"01","01","Narrator ","Kids, I'm going to tell you an incredible story. The story of how I met your mother",1,1
"01","01","Son ","Are we being punished for something?",2,2
"01","01","Narrator ","No",3,3
"01","01","Daughter ","Yeah, is this going to take a while?",4,4
"01","01","Narrator ","Yes. (Kids are annoyed) Twenty-five years ago, before I was dad, I had this whole other life.",5,5
"01","01","Narrator ","It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up.",6,6
"01","01","Marshall ","(Opens ring) Will you marry me.",7,7
"01","01","Ted ","Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor.",8,8
"01","01","Marshall ","Got it. Thanks for helping me plan this out, Ted.",9,9
"01","01","Ted ","Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",10,10
"01","01","Marshall ","(laughs) yeah, sorry. We thought you were asleep.",11,11
"01","01","Ted ","It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",12,12
"01","01","Marshall ","Yeah, what are you doing tonight?",13,13
"01","01","Narrator ","What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.",14,14
"01","01","Barney ","(on the phone) hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.",15,15
"01","01","Ted ","Hey, you wanna do something tonight?",16,16
"01","01","Barney ","Okay, meet me at the bar in fifteen minutes, and Suit up!",17,17
"01","01","Ted ","Hey.",18,18
"01","01","Barney ","Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",19,19
"01","01","Ted ","I did that one time.",20,20
"01","01","Barney ","It was a blazer!",21,21
"01","01","Ted ","You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted"".",22,22
"01","01","Barney ","I see what this is about. Have you forgotten what I said to you the night we met?",23,23
"01","01","Barney ","Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal.",24,24
"01","01","Ted ","Oh, right. Hi.",25,25
"01","01","Barney ","Lesson one, lose the goatee. It doesn't look good with your suit.",26,26
"01","01","Ted ","I'm not wearing a suit.",27,27
"01","01","Barney ","Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty.",28,28
"01","01","Ted ","Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",29,29
"01","01","Barney ","I thought I was your best friend. Ted, say I'm your best friend.",30,30
"01","01","Ted ","You're my best friend, Barney.",31,31
"01","01","Barney ","Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?""",32,32
"01","01","Ted ","Wai-no, no, no. We're not playing ""Have You Met Ted?""",33,33
"01","01","Barney ","(Taps a woman names Yasmine) Hi, have you met Ted? (Leaves and watches from a distance).",34,34
"01","01","Ted ","(To Yasmine) Hi, I'm Ted.",35,35
"01","01","Yasmine ","Yasmine.",36,36
"01","01","Ted ","It's a very pretty name.",37,37
"01","01","Yasmine ","Thanks, It's Lebanese.",38,38
"01","01","Marshall ","Hey!",39,39
"01","01","Lily ","Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy (takes coat off revealing a purple hand print on her right breast) got to second base with me. Wow, you're cooking?",40,40
"01","01","Marshall ","Yes, I am.",41,41
"01","01","Lily ","Aww-(They kiss) Are you sure that's a good idea after last time? You looked really creepy without eyebrows.",42,42
"01","01","Marshall ","I can handle this; I'm full of surprises tonight.",43,43
"01","01","Lily ","So there's more surprises? Like what?",44,44
"01","01","Narrator ","Marshall was in his second year of law school, so he was pretty good at thinking on his feet.",45,45
"01","01","Marshall ","BOOGITY BOO! And that's all of them! I'm goanna go... cook. (Leaves)",46,46
"01","01","Ted ","I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",47,47
"01","01","Yasmine ","So do you think you'll ever get married?",48,48
"01","01","Ted ","Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged? (Yasmine laughs) Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",49,49
"01","01","Yasmine ","Actually, I think it's cute.",50,50
"01","01","Ted ","Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!",51,51
"01","01","Marshall ","Okay, look what I got (runs to the fridge. Takes out wine bottle)",52,52
"01","01","Lily ","Aw-honey. Champagne! (hands it to Marshall)",53,53
"01","01","Marshall ","(after short silence) Yeah. (hands it back)",54,54
"01","01","Lily ","(realizing) No, you are too old to be scared to open a bottle of champagne!",55,55
"01","01","Marshall ","I'm not scared.",56,56
"01","01","Lily ","Then open it!",57,57
"01","01","Marshall ","Fine (takes bottle. Looks at it for a couple of seconds) Please open it (hands it to Lily)",58,58
"01","01","Lily ","You are unbelievable, Marshall. No-(Scene splits in half and shows both Lily and Marshall on top arguing and Ted and Yasmine on the bottom mingling)",59,59
"01","01","Narrator ","There are two big questions a man has to ask in life. One you plan out for months, the other just slips out when you're half drunk at some bar.",60,60
"01","01","Marshall ","(To Lily) will you marry me?",61,61
"01","01","Ted ","(To Yasmine) you wanna go out sometime?",62,62
"01","01","Lily ","Of course, you idiot! (hugs him and they fall back)",63,63
"01","01","Yasmine ","I'm sorry; Carl's my boyfriend (points to bartender)",64,64
"01","01","Ted ","Sup, Carl?",65,65
"01","01","Marshall ","I promised Ted we wouldn't do that.",66,66
"01","01","Lily ","Did you know there's a pop tart under your fridge?",67,67
"01","01","Marshall ","No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé.",68,68
"01","01","Lily ","aww (claps. They kiss)",69,69
"01","01","Marshall ","I don't know why I was so scared of this. Pretty easy right? (Pops cork, hit's Lily's eye)",70,70
"01","01","Lily ","(YELLS)",71,71
"01","01","Marshall ","(covers mouth) OH!",72,72
"01","01","Ted ","Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.",73,73
"01","01","Barney ","(ignoring) how does Carl land a Lebanese girl?",74,74
"01","01","Ted ","It's always been ""don't even think about it till you're thirty""",75,75
"01","01","Barney ","Exactly-the guy doesn't even own a suit!",76,76
"01","01","Ted ","Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, ""Okay, I'm ready! Where is she?"" (Spots Robin)",77,77
"01","01","Narrator ","and there she was.",78,78
"01","01","Narrator ","It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, ""see that girl? I'm going to marry her someday""",79,79
"01","01","Ted ","Hey Barney, see that girl?",80,80
"01","01","Barney ","(to Robin) Hey, have you met Ted?",81,81
"01","01","Robin ","Let me guess, (points) Ted?",82,82
"01","01","Marshall ","I'm sorry, Lily. I'm so sorry. Take us to the hospital.",83,83
"01","01","Cabdriver ","Whoa, whoa, whoa-did you hit her?",84,84
"01","01","Lily ","Hit me? Please, this guy could barely even spank me in bed for fun. He's all like, (hits ice in bag using to cover eye) ""Oh, did that hurt?"" and I'm like, ""Come on, let me have it you pansy!"" (realizes) Wow, complete stranger.",85,85
"01","01","Cabdriver ","no, no, no, no-it's okay, go on. (Turns meter on.) So these, spankin's...you in pajamas or going ""naturelle""",86,86
"01","01","Ted ","So what do you do?",87,87
"01","01","Robin ","I'm a reporter for Metro News 1.",88,88
"01","01","Ted ","(nods) Oh.",89,89
"01","01","Robin ","Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.",90,90
"01","01","Ted ","Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty. (Robin laughs and waves to her friends) Oh, your friends don't seem too happy.",91,91
